channel_title,Total Views,Count of Trending videos
NFL,124942646,99
ESPN,37258928,96
Netflix,41710723,95
Vox,63874340,95
NBA,33632887,94
First We Feast,84377565,93
Refinery29,6068962,91
The Tonight Show Starring Jimmy Fallon,68543272,91
Tom Scott,35403212,88
TheEllenShow,82770028,86
The Late Show with Stephen Colbert,60734102,85
CNN,24910046,85
Late Night with Seth Meyers,82677166,85
WWE,170551952,83
Life Noggin,37238007,81
INSIDER,28820579,80
Saturday Night Live,182287923,80
Jimmy Kimmel Live,77585536,79
Screen Junkies,114955368,78
Washington Post,17644405,76
Warner Bros. Pictures,189379185,73
Great Big Story,13713854,72
Bon AppÃƒÂ©tit,39802953,71
The Late Late Show with James Corden,122739227,71
TODAY,21983555,71
WIRED,124237402,70
ABC News,9666836,70
CollegeHumor,51641920,70
20th Century Fox,344947728,68
E! Entertainment,28668844,67
Inside Edition,22910839,66
Marques Brownlee,96943703,66
Watch What Happens Live with Andy Cohen,8954852,66
iJustine,24563977,63
Full Frontal with Samantha Bee,32973495,63
BuzzFeedVideo,54433004,63
NBC News,11780242,62
William Osman,22948742,61
The Dodo,34568943,61
TED-Ed,18690209,61
Vogue,63603286,58
Smosh,76700739,57
Good Mythical Morning,38962432,57
CinemaSins,98660965,57
ExplosmEntertainment,69368674,56
IISuperwomanII,109652282,56
The King of Random,48705428,56
The New York Times,14660223,56
The View,13901806,56
Vanity Fair,40542008,56
vlogbrothers,12230458,56
CBS This Morning,15691125,55
CBS News,19322495,55
BBC News,23850270,54
ColliderVideos,3905050,53
Guardian News,17929278,53
Universal Pictures,461273964,53
Simon's Cat,18019504,53
Simply Nailogical,116445329,53
SciShow,13120406,52
The Graham Norton Show,53790378,52
Grace Helbig,9487102,52
CaseyNeistat,164914790,52
HellthyJunkFood,15348987,51
FBE,103516267,50
Entertainment Tonight,19418099,49
AnthonyPadilla,13416350,49
jacksfilms,61101935,48
Jackie Aina,33900092,48
Tasty,32886324,48
TIME,20245899,48
SMTOWN,256987943,47
Rosanna Pansino,30425093,47
Marvel Entertainment,776328353,47
BBC Radio 1,53244375,47
The Verge,28373893,46
The Slow Mo Guys,139307255,45
RM Videos,6890169,45
Atlantic Records,38120643,45
Gus Johnson,22635550,44
John Campea,2411621,43
Lele Pons,245226624,43
CBS Los Angeles,3194316,43
Wendover Productions,31950182,43
Safiya Nygaard,113590188,42
Star Wars,46105348,42
Binging with Babish,43740776,42
Anwar Jibawi,74444019,42
