channel_title,Total Views,Total Trending videos
YouTube Spotlight,783298628,11
Marvel Entertainment,776328353,47
LuisFonsiVEVO,534738794,10
Logan Paul Vlogs,484356303,24
Universal Pictures,461273964,53
Kylie Jenner,461064419,10
EminemVEVO,416007924,31
GEazyMusicVEVO,415888915,31
Ed Sheeran,400504946,17
DisneyÃ¢â‚¬Â¢Pixar,371016286,18
20th Century Fox,344947728,68
Dude Perfect,332128345,25
jypentertainment,276291969,26
KatyPerryVEVO,273333649,18
SMTOWN,256987943,47
5-Minute Crafts,249591883,22
Lele Pons,245226624,43
TaylorSwiftVEVO,244182424,14
justintimberlakeVEVO,232092388,34
ibighit,224009476,13
Sony Pictures Entertainment,215449430,39
Bruno Mars,213126073,15
SpaceX,191262816,24
Warner Bros. Pictures,189379185,73
Saturday Night Live,182287923,80
DemiLovatoVEVO,181177688,22
Paramount Pictures,177775273,33
KendrickLamarVEVO,173712654,24
WWE,170551952,83
CaseyNeistat,164914790,52
The Film Theorists,144650505,38
Maroon5VEVO,139792531,19
The Slow Mo Guys,139307255,45
PinkVEVO,133897758,18
Bad Lip Reading,131462037,40
BostonDynamics,130744978,20
Liza Koshy,130541992,27
Cardi B,129689285,14
Dua Lipa,124992796,13
NFL,124942646,99
WIRED,124237402,70
The Late Late Show with James Corden,122739227,71
shakiraVEVO,122400297,7
MigosVEVO,122134908,20
ChainsmokersVEVO,118870020,21
T-Mobile,117979039,16
SelenaGomezVEVO,116603411,18
Simply Nailogical,116445329,53
Screen Junkies,114955368,78
HBO,114005214,35
Safiya Nygaard,113590188,42
Ram Trucks,110711462,9
Vevo,110333348,8
IISuperwomanII,109652282,56
marshmello,106357042,21
Bud Light,104489909,7
FBE,103516267,50
CinemaSins,98660965,57
Marques Brownlee,96943703,66
Nintendo,93402960,40
Jeep,88158175,9
Turkish Airlines,86666242,7
FiftyShadesVEVO,86648549,25
First We Feast,84377565,93
HyundaiUSA,83086102,11
TheEllenShow,82770028,86
Late Night with Seth Meyers,82677166,85
Lucas the Spider,81834968,16
Mark Rober,79383365,20
Jimmy Kimmel Live,77585536,79
Smosh,76700739,57
Hannah Stocking,76219450,42
Brave Wilderness,74584387,35
Anwar Jibawi,74444019,42
Rudy Mancuso,73772856,28
Collins Key,73162789,8
Kurzgesagt Ã¢â‚¬â€œ In a Nutshell,70575700,34
CamilaCabelloVEVO,70049199,17
ExplosmEntertainment,69368674,56
The Tonight Show Starring Jimmy Fallon,68543272,91
OVO Sound,65363750,6
The ACE Family,64609976,9
SiaVEVO,64602694,33
Vox,63874340,95
Vogue,63603286,58
jacksfilms,61101935,48
Troom Troom,60865590,13
The Late Show with Stephen Colbert,60734102,85
Billboard,59406754,39
LastWeekTonight,59392739,17
NikkieTutorials,58169712,28
1theK (Ã¬â€ºÂÃ«Ââ€Ã¬Â¼â‚¬Ã¬ÂÂ´),57375949,19
nigahiga,56404154,19
JenniferLopezVEVO,55649039,4
Calvin Klein,55096553,5
BuzzFeedVideo,54433004,63
LOL Network,54230890,10
The Graham Norton Show,53790378,52
BBC Radio 1,53244375,47
SZAVEVO,51729360,16
CollegeHumor,51641920,70
JennaMarbles,49803463,19
Dwarf Mamba,49190093,8
The King of Random,48705428,56
ThomasRhettVEVO,48557588,11
Lionsgate Movies,46971160,7
Intuit,46410511,4
Star Wars,46105348,42
TRYANGLE FILMS,46062940,6
TroyeSivanVEVO,45972812,16
Unbox Therapy,45970446,17
LIL UZI VERT,45907542,8
TheOdd1sOut,45449800,7
TheAngryGrandpaShow,44963723,8
Hulu,44677749,14
Conor Maynard,44469933,5
Boldly,43947889,16
bill wurtz,43814313,23
Binging with Babish,43740776,42
JayRockVEVO,43409357,6
Lil Wayne,42913354,9
Ben Pluimer,42801449,13
SamSmithWorldVEVO,42736277,15
Mike Austin,42503849,9
Disney Movie Trailers,42465587,24
Butch Hartman,42233867,21
Netflix,41710723,95
OK Go,41183174,7
Hevesh5,41078824,36
Vanity Fair,40542008,56
Bon AppÃƒÂ©tit,39802953,71
CrazyRussianHacker,39791129,33
HaileeSteinfeldVEVO,39712033,9
Tide,39538681,10
HollywoodLife,39219073,19
Good Mythical Morning,38962432,57
James Charles,38915376,31
ZEDDVEVO,38631230,12
MLG Highlights,38629388,15
Adult Swim,38578045,8
Gerry Litwin,38140887,12
Atlantic Records,38120643,45
Shay Mitchell,37649692,13
Legendary,37558556,7
ESPN,37258928,96
Life Noggin,37238007,81
Linus Tech Tips,37092950,32
PitbullVEVO,36668491,10
Kitchen Nightmares,35983552,19
FallOutBoyVEVO,35972908,25
Alan Walker,35843928,33
RemyMaVEVO,35527167,25
shane,35413539,9
Tom Scott,35403212,88
JunsKitchen,35328417,24
The Dodo,34568943,61
Bleecker Street,34262015,16
Macklemore LLC,34127002,13
AsapSCIENCE,34023108,39
Pinball Wiz,33991190,9
Jackie Aina,33900092,48
NBC,33772031,15
NBA,33632887,94
5FDPVEVO,33501371,19
iKON,33246211,5
Fueled By Ramen,33174757,39
PBS NewsHour,33007379,24
Full Frontal with Samantha Bee,32973495,63
5MadMovieMakers,32955977,17
Tasty,32886324,48
ImagineDragonsVEVO,32668620,23
Dani Ochoa,32321375,12
Prime Video,32010035,5
Whistle Sports,32007446,12
Wendover Productions,31950182,43
The Daily Show with Trevor Noah,31574912,16
KhalidVEVO,31235543,16
TMZ,31007719,35
LadyGagaVEVO,30742191,15
All is Art,30618743,9
John Lewis,30557393,4
Rosanna Pansino,30425093,47
Mnet K-POP,29980157,7
HalseyVEVO,29834129,7
boogie2988,29282299,13
Jaiden Animations,28945742,10
INSIDER,28820579,80
TechSmartt,28795673,18
E! Entertainment,28668844,67
Doug DeMuro,28634203,28
Budweiser,28592638,7
The Verge,28373893,46
Breakfast Club Power 105.1 FM,28257462,38
The X Factor UK,28161814,13
Complex,28008346,27
amazon,27952435,10
You Suck At Cooking,27918671,31
The Official PokÃƒÂ©mon YouTube Channel,27453726,22
TinasheOfficialVEVO,27423391,16
Cut,27331565,37
Martin Garrix,27250257,7
jeffreestar,26703095,13
Groupon,26402350,7
The Voice,26215756,41
BURGER KING,26169061,8
Michelob ULTRA,25810875,9
Nike,25776205,10
the Hacksmith,25690388,12
Major Lazer,25516159,15
CNN,24910046,85
Domics,24613246,14
iJustine,24563977,63
PTXofficial,24557705,13
HvdH-Plane-Spotter,24475287,5
Lindsey Stirling,24248935,16
videogamedunkey,24159761,6
CalumScottVEVO,23905628,16
BBC News,23850270,54
Doug Ellison,23832561,13
The Food Ranger,23587884,29
itsAlexClark,23030539,31
William Osman,22948742,61
Inside Edition,22910839,66
Gus Johnson,22635550,44
Step Up: High Water,22447439,9
A Chick Called Albert,22324463,7
CrashRacing,22199905,8
MrBeast,22068205,7
ONE Media,22043556,21
TODAY,21983555,71
NFVEVO,21923445,9
Snapchat,21791461,8
Mr. Kate,21265089,24
Charlie Puth,21127388,12
Pitch Perfect,21021349,8
Brat,20658205,7
Open Road Films,20319703,7
TIME,20245899,48
Joey Graceffa,20183463,25
Primitive Technology,20018181,5
The Royal Family,19939567,9
Ultra Music,19749530,12
ProZD,19644543,15
Niki and Gabi,19531458,10
PlayOverwatch,19481778,15
Entertainment Tonight,19418099,49
ThreadBanger,19400625,22
Linkin Park,19353808,23
CBS News,19322495,55
Lil Peep,19266150,6
JonTronShow,19103910,6
KygoOfficialVEVO,19071153,7
Matthias,19048351,22
FrenchMontanaVEVO,18885554,7
JayZVEVO,18797516,5
TED-Ed,18690209,61
GraceVanderWaalVEVO,18562724,13
Kia Motors America,18470406,7
Dolan Twins,18305623,12
Cobra Kai,18277184,6
TechRax,18272347,12
AmazingPhil,18201915,14
MGM,18178781,5
GoPro,18077756,31
Simon's Cat,18019504,53
Half as Interesting,18013582,39
Guardian News,17929278,53
Camila Cabello,17817374,15
MLive,17672778,16
Washington Post,17644405,76
What's Inside?,17572083,14
Pepsi,17501532,11
Google,17218420,20
Jeremy Jahns,17197588,26
REACT,17058794,14
DJSnakeVEVO,17011865,7
Madelaine Petsch,16664356,34
Nerdwriter1,16602729,40
BLACKPINK,16524026,5
Rudimental,16427946,12
The White House,16403196,21
Austin Evans,16373151,35
The Infographics Show,16362800,28
Marzia,16227224,35
Matthias Wandel,16098820,19
Casually Explained,16086205,7
Focus Features,15971380,21
Highlight Heaven,15912747,15
Hope For Paws - Official Rescue Channel,15873226,29
Just Wow me,15864924,8
Tanner Braungardt,15722889,7
LOOK MUM NO COMPUTER,15703449,10
CBS This Morning,15691125,55
Zoella,15564653,19
Foot Locker,15409025,10
HellthyJunkFood,15348987,51
Jordan Wilson,15308631,9
Panic! At The Disco,15236171,12
CGP Grey,15155292,10
ElleOfTheMills,15147270,19
Muse,15128228,7
ABC Television Network,15095201,10
BBC,15051323,25
LouisTomlinsonVEVO,14971040,6
adidas Football,14964217,7
Taylor Nicole Dean,14789738,28
Adam Smith,14750793,6
Philip DeFranco,14748688,8
The New York Times,14660223,56
Maymo,14521677,9
Wengie,14437979,7
Taylor Swift,14422595,23
Chris Rosa,14377600,5
Bobby Duke Arts,14353823,14
Apple,14352460,13
Team Edge,14290845,12
JerryRigEverything,14285718,35
littlemixVEVO,14241026,10
Simply Not Logical,14186497,17
Attaullah Malik,14177068,8
BrasherN,14114169,7
Team Coco,14091303,21
Tech Insider,14029022,25
Land Rover,14019124,7
HarryStylesVEVO,13938107,6
The View,13901806,56
Blonded,13899991,7
Great Big Story,13713854,72
FaZe Rug,13665892,8
A24,13474924,13
Poppy,13460462,24
AnthonyPadilla,13416350,49
NJ.com,13321604,18
Clevver News,13265810,28
iggyazaleamusicVEVO,13219515,7
Chilly Willy,13124922,8
SciShow,13120406,52
Colleen Ballinger,12948464,8
CHRIS-RS,12914827,6
Morgan Adams,12788114,15
NFL Network,12777656,9
The Grand Tour,12717282,23
Chris Stuckmann,12599925,20
Red Bull,12569658,26
ShawnMendesVEVO,12501077,8
Graham The Christian,12484874,7
AviciiOfficialVEVO,12421837,6
JheneAikoVEVO,12361863,6
BuzzFeedBlue,12339070,15
PlayStation,12312195,6
Lauv,12255131,13
vlogbrothers,12230458,56
Diplo,12222339,13
CalvinHarrisVEVO,12113607,10
Mike Boyd,12026638,20
Today I Found Out,11989085,19
Queen Naija,11969982,12
TBS,11950727,14
Tati,11804521,15
NBC News,11780242,62
Sam Chui,11779203,6
Ryan Canty,11715543,5
Oscars,11704560,8
Omeleto,11656567,14
Kylie Cosmetics,11654705,8
U2VEVO,11651587,29
Doctor Who,11648381,9
PokÃƒÂ©mon GO,11537586,7
Glamour Magazine,11532705,8
Looper,11484255,13
Movieclips Trailers,11481232,23
GQ,11399137,17
VICELAND,11359237,10
CBS Films,11322404,4
IGN,11286529,33
Mr Sunday Movies,11271625,14
Hayley Kiyoko,11254749,6
Horizon Productions SFL,11218319,9
Mark Sales,11206205,9
PHP,10962577,5
Chris Smoove,10949107,17
BBC Three,10911332,18
BANGTANTV,10902829,5
How To Cake It,10862282,23
BuzzFeed Celeb,10812563,11
Brent Pella,10586842,8
AlishaMarie,10561515,9
Variety,10504555,27
Ben Actis,10455839,8
Desi Perkins,10421452,22
Jaclyn Hill,10384088,12
National Geographic,10369604,41
SmarterEveryDay,10344595,15
Channel Awesome,10333649,18
Capital FM,10317977,9
Miranda Sings,10273595,25
Will Smith,10204003,17
Natalies Outlet,10180105,6
Colleen Vlogs,10127882,19
